apr,bug,tot_cluster,tot_patch,t_naive,t_uniapr,t_expapr
SampleRecoder,Closure-56,56,1020,42988.64479017258,None,403.7293403148651
SampleRecoder,Closure-92,79,1269,35245.374566078186,None,787.7989115219067
SampleRecoder,Lang-15,38,685,7089.103364467621,798.3008906679478,234.7978949546814
SampleRecoder,Lang-34,68,1137,11907.016263723373,5108.43054151158,450.23166036605835
SampleRecoder,Lang-38,77,1322,10187.113122463226,1631.4260020628556,528.9674670045174
SampleRecoder,Lang-50,72,1411,9447.005377292633,1625.893979132093,411.334486246109
SampleRecoder,Lang-51,34,686,3150.803742647171,430.59147604383935,180.48259830343738
SampleRecoder,Math-22,70,1335,81519.79896473885,1646.2991135842724,483.75407457351685
SampleRecoder,Math-38,72,1258,39036.147852659225,1709.5426205597664,456.52010583877563
SampleRecoder,Math-41,75,1704,43214.73371720314,9478.847542728141,883.0960847729255
SampleRecoder,Math-43,63,1164,45003.73614883423,1974.785976702033,378.2830882072449
SampleRecoder,Math-51,48,768,50984.16627955437,821.967528119961,425.35740873331235
SampleRecoder,Math-58,71,1415,82091.451982975,11116.989536172105,2620.5661048683705
SampleRecoder,Math-64,74,1373,25541.72784972191,1629.8368117707196,511.50373834567506
SampleRecoder,Math-73,68,1188,53272.034564971924,1397.0980173788782,323.4922180175781
SampleRecoder,Math-74,75,1372,113113.64963626862,2587.5915850455863,744.3674963114217
SampleRecoder,Math-75,72,1298,12275.129103660583,1390.4557948371398,365.1424218695245
SampleRecoder,Mockito-17,65,1048,15055.329598903656,None,656.473326898287
SampleRecoder,Mockito-20,68,1260,73767.097925663,None,357.3981554508209
SampleRecoder,Mockito-27,57,1087,18723.560842514038,None,444.74297423693935
SampleRecoder,Mockito-34,66,1230,16347.552572488785,None,359.7982614040375
SampleRecoder,Mockito-35,54,846,10984.744555234909,None,323.93700728777657
SampleRecoder,Time-17,71,1460,28918.009715795517,1803.685410441047,602.5582680718171
SampleRecoder,Time-24,77,1329,20659.819518089294,1572.089826453149,509.89809918403625
SampleRecoder,Time-8,72,1407,23976.34987926483,1679.4027709122074,423.22469542329907
