filename,category,n_patch,n_stof,n_ftos
PlausibleRecoder/patches-out/Time/4/prepend-Partial.java-298--40fc563d31b26214.json,succ,82,0,0
PlausibleRecoder/patches-out/Lang/26/modify-FastDateFormat.java-738--5f805231ae9d0d60.json,succ,41,0,0
PlausibleRecoder/patches-out/Math/5/prepend-Complex.java-100-691da9cda517b24e.json,succ,85,0,0
PlausibleRecoder/patches-out/Closure/2/prepend-ObjectType.java-574--5399e923e0e7055d.json,succ,27,0,0
PlausibleRecoder/patches-out/Chart/1/prepend-DefaultCategoryDataset.java-259-19b23d03d2fd489a.json,succ,8,0,0
PlausibleRecoder/patches-out/Lang/55/modify-StopWatch.java-148--2594588a14e81dbd.json,succ,46,0,0
PlausibleRecoder/patches-out/Closure/33/prepend-TypeInference.java-723-f9ffb909e22b488.json,succ,7,0,0
PlausibleRecoder/patches-out/Chart/9/modify-TimeSeries.java-947--1d1172639f3a7ef9.json,succ,17,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-ArgumentMatchingTool.java-48-7687cddfe5b4e0b5.json,succ,42,0,0
PlausibleRecoder/patches-out/Closure/62/prepend-AbstractMessageFormatter.java-82-4e791d1f9029a53e.json,succ,6,0,0
PlausibleRecoder/patches-out/Closure/57/modify-ClosureCodingConvention.java-194-2a99c98710a81a75.json,succ,59,0,0
PlausibleRecoder/patches-out/Chart/9/modify-TimeSeries.java-939--1d1172639f3a7ef9.json,succ,17,0,0
PlausibleRecoder/patches-out/Chart/24/modify-GrayPaintScale.java-89--136f5cc48da64347.json,succ,10,0,0
PlausibleRecoder/patches-out/Lang/26/prepend-FastDateFormat.java-1355--5f805231ae9d0d60.json,succ,16,0,0
PlausibleRecoder/patches-out/Closure/14/modify-ControlFlowAnalysis.java-764-52dc4e8b8351b72d.json,succ,3,0,0
PlausibleRecoder/patches-out/Lang/55/prepend-StopWatch.java-180--2594588a14e81dbd.json,succ,55,0,0
PlausibleRecoder/patches-out/Math/75/prepend-Frequency.java-495--5d380b3518808b6e.json,succ,8,0,0
PlausibleRecoder/patches-out/Math/5/modify-Complex.java-102-691da9cda517b24e.json,succ,30,0,0
PlausibleRecoder/patches-out/Closure/7/prepend-UnionType.java-299-4f5f3fcba54fa2d4.json,succ,69,0,0
PlausibleRecoder/patches-out/Chart/11/modify-ShapeUtilities.java-285--276f062239d84275.json,succ,32,0,0
